tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
10506	Paramecium bursaria Chlorella virus 1	918416	0	live	A245R	PBCV1_A245R	Cu/Zn superoxide dismutase				NC_000852.5	121875	122438	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918242	0	live	A103R	PBCV1_A103R	mRNA guanylyltransferase				NC_000852.5	54622	55614	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918052	0	live	A612L	PBCV1_A612L	Histone H3K27 methylase				NC_000852.5	293059	293418	minus	0		
10506	Paramecium bursaria Chlorella virus 1	917923	0	live	A207R	PBCV1_A207R	Arginine/Ornithine decarboxylase				NC_000852.5	105509	106627	plus	0		
10506	Paramecium bursaria Chlorella virus 1	917906	0	live	A583L	PBCV1_A583L	DNA topoisomerase II				NC_000852.5	280793	283978	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918433	0	live	A260R	PBCV1_A260R	chitenase				NC_000852.5	132729	134246	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918420	0	live	A305L	PBCV1_A305L	Protein phosphatase				NC_000852.5	154040	154654	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918349	0	live	A064R	PBCV1_A064R	UDP-Glucose glycosyltransferase				NC_000852.5	34956	36872	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918345	0	live	A011L	PBCV1_A011L	Capsid protein				NC_000852.5	6970	8181	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918328	0	live	A278L	PBCV1_A278L	Protein kinase				NC_000852.5	141759	143591	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918315	0	live	A289L	PBCV1_A289L	Protein kinase				NC_000852.5	148278	149129	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918312	0	live	A284L	PBCV1_A284L	Amindase				NC_000852.5	145395	146234	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918310	0	live	A282L	PBCV1_A282L	Protein kinase				NC_000852.5	143630	145339	minus	0		
